,id,lon,lad,Number
118,11179,103.7942794,1.306275214,5
119,11181,103.7922764,1.307223333,13
120,11189,103.7925422,1.307401389,11
121,11191,103.7883732,1.308016408,6
122,11199,103.7884315,1.308379707,4
123,11201,103.8118645,1.306926429,5
124,11209,103.8103835,1.308172808,6
125,11211,103.8093952,1.308387799,5
126,11219,103.8071641,1.309885061,6
127,11221,103.8054441,1.310022253,5
128,11229,103.8052254,1.310600659,6
129,11231,103.8011992,1.311153163,6
130,11239,103.8016552,1.311528574,4
131,11259,103.79274,1.311198879,4
132,11261,103.7944462,1.312231684,6
133,11269,103.794538,1.312561126,4
134,11271,103.7900842,1.314734444,5
135,11279,103.7906926,1.314668789,4
136,11281,103.7885219,1.316226944,5
137,11289,103.7890434,1.316188914,4
138,11291,103.7859233,1.317927778,6
139,11299,103.7855884,1.318269756,4
140,11309,103.7884299,1.318624439,4
141,11319,103.7895997,1.32030638,4
142,11329,103.7909809,1.322361397,4
143,11339,103.7920472,1.323986389,4
144,11349,103.7930739,1.325666111,4
145,11351,103.7894511,1.309345712,8
146,11359,103.7896861,1.309310226,8
147,11361,103.7905812,1.306496986,14
148,11369,103.7908483,1.306325964,13
149,11379,103.7923632,1.309170025,15
150,11381,103.7932829,1.308411379,8
151,11389,103.7929322,1.30906501,11
152,11401,103.7950744,1.309067222,4
153,11419,103.796044,1.311029814,4
154,11429,103.7983633,1.30454,6
155,11439,103.8002978,1.306064722,6
156,11469,103.8018858,1.301135034,5
157,11471,103.8031516,1.299518926,4
158,11479,103.8037199,1.299380751,5
159,11481,103.8060054,1.298115189,4
160,11489,103.8049972,1.298453515,5
161,11491,103.8076365,1.297102028,4
162,11499,103.8078866,1.296850536,5
163,11511,103.8025188,1.285946874,9
164,11519,103.8033413,1.286657422,10
165,11521,103.80543,1.28857101,8
166,11529,103.8060909,1.289031206,7
167,11531,103.8075308,1.291088333,8
168,11539,103.8078618,1.291170495,7
169,11541,103.805785,1.29235984,4
170,11551,103.804096,1.291267031,4
171,11561,103.8024759,1.29107396,4
172,11579,103.8030332,1.292564891,4
173,11589,103.8040052,1.292991881,4
174,11599,103.8031489,1.294208056,4
175,11609,103.8021219,1.291889722,4
176,12021,103.7824306,1.319076389,6
177,12029,103.7824392,1.319583694,4
178,12031,103.7796286,1.320800851,8
179,12039,103.78019,1.321045262,4
180,12041,103.7765344,1.320491727,6
181,12049,103.7765589,1.32091132,4
182,12051,103.7739606,1.3198638,6
183,12059,103.7737694,1.320099133,4
184,12061,103.7708734,1.321785002,5
185,12069,103.7710419,1.321433056,6
186,12071,103.7721939,1.3240225,5
187,12079,103.7726309,1.323831876,6
188,12081,103.77543,1.326468056,5
189,12089,103.7757089,1.326261111,6
190,12091,103.7771471,1.329183155,5
191,12099,103.7767036,1.327838056,6
192,12101,103.7776851,1.332438964,5
193,12109,103.7780086,1.330819444,6
194,12111,103.7722298,1.319117911,6
195,12119,103.7727927,1.319645982,4
196,12121,103.7871517,1.311648333,5
197,12129,103.7873261,1.311821111,5
198,12131,103.7850617,1.314159444,5
199,12139,103.7850416,1.314531859,5
200,12141,103.7823915,1.315743898,5
201,12149,103.782661,1.315769005,5
202,12151,103.7812757,1.318650645,5
203,12169,103.7772417,1.319165492,5
204,12179,103.7769949,1.316795047,5
205,12189,103.780224,1.316426937,5
206,12199,103.7782062,1.315479989,5
207,12209,103.7642997,1.326532028,4
208,12211,103.7807071,1.317213361,5
209,13011,103.8198382,1.306348492,5
210,13019,103.8201308,1.306738022,6
211,13021,103.8143067,1.30633973,5
212,13029,103.8145186,1.306717833,6
213,13031,103.8170739,1.299129722,4
214,13039,103.8174427,1.299815727,5
215,13041,103.8196763,1.302428343,4
216,13049,103.8204507,1.302616713,5
217,13059,103.8266349,1.293282736,7
218,13069,103.8288081,1.29488,7
219,13071,103.8320262,1.296316543,5
220,13079,103.8322921,1.296122133,7
221,13081,103.8362428,1.295911389,5
222,13089,103.8360411,1.295751111,7
223,13091,103.8393781,1.295931389,5
224,13099,103.8396127,1.295780242,7
225,13101,103.8423121,1.294141627,5
226,13109,103.8427242,1.293509444,7
227,13119,103.8328385,1.293626774,8
228,13121,103.8308378,1.294092217,5
229,13139,103.8320553,1.295042619,8
230,13141,103.8299799,1.297636828,4
231,13159,103.8305318,1.297960115,9
232,13191,103.8297819,1.302461,4
233,13199,103.829875,1.302127,9
234,13201,103.8220956,1.304536223,4
235,13209,103.8220561,1.304031071,5
236,14009,103.8190147,1.267035026,9
237,14011,103.8255261,1.267954444,4
238,14019,103.8257172,1.268488925,7
239,14021,103.8247836,1.271329722,5
240,14029,103.8241878,1.272473333,6
241,14031,103.8230603,1.276242778,9
242,14039,103.8234583,1.276636379,10
243,14041,103.8124708,1.273272781,7
244,14049,103.8130423,1.273241668,4
245,14051,103.8150756,1.275815,6
246,14059,103.8151437,1.275374851,5
247,14061,103.8386204,1.272312698,10
248,14071,103.8339026,1.272203424,10
249,14081,103.8306161,1.27070616,10
250,14101,103.8282581,1.268375,10
251,14119,103.8222828,1.265923609,4
252,14121,103.8192566,1.2659135,10
253,14129,103.8197788,1.266078691,4
254,14131,103.8167544,1.267401303,11
255,14139,103.8154695,1.268635277,4
256,14141,103.8221133,1.265524215,13
257,14151,103.8129359,1.269647659,11
258,14159,103.8131542,1.269940464,4
259,14161,103.8100991,1.270758665,10
260,14169,103.8094181,1.271185504,4
261,14171,103.8065486,1.271459598,10
262,14179,103.8063,1.271884546,4
263,14189,103.8039836,1.272693033,4
264,14191,103.8121144,1.281218333,5
265,14199,103.8127506,1.281316767,7
266,14201,103.8091468,1.281673073,5
267,14209,103.8095887,1.281763977,7
268,14211,103.8052188,1.281611684,5
269,14219,103.8068496,1.282186479,7
270,14221,103.8289337,1.273593322,5
271,14231,103.8266722,1.27101,5
272,14241,103.8168725,1.279143531,8
273,14249,103.8173299,1.279474057,8
274,14259,103.8186582,1.277845011,5
275,14269,103.8199945,1.277584806,5
276,14271,103.8191485,1.275681943,6
277,14279,103.8192089,1.275915523,8
278,14281,103.8180438,1.276996716,6
279,14291,103.8213265,1.274684408,8
280,14299,103.8212713,1.274888204,6
281,14309,103.8230259,1.271289,5
282,14319,103.8207183,1.273406852,5
283,14329,103.8094537,1.274349615,5
284,14331,103.8110681,1.276946111,4
285,14339,103.811245,1.276660655,6
286,14341,103.8134739,1.275933889,4
287,14349,103.8133981,1.275790298,6
288,14359,103.8103503,1.272890556,5
289,14369,103.8036593,1.281536358,7
290,14379,103.8237936,1.272438333,7
291,14381,103.8255429,1.274130142,8
292,14389,103.825009,1.274281605,8
293,14391,103.8085861,1.27791,4
294,14399,103.8085855,1.27763662,5
295,14471,103.8066498,1.282011691,5
296,14489,103.8217011,1.272185207,5
297,14491,103.8079489,1.272788056,4
298,14499,103.8078211,1.272913056,4
299,14501,103.8064808,1.276872161,4
300,14509,103.8068061,1.275651111,4
301,14519,103.8257032,1.253521934,4
302,14521,103.8204249,1.253596445,4
303,14539,103.818545,1.251427,4
304,15041,103.801892,1.274632,9
305,15049,103.8021634,1.274590541,5
306,15051,103.8023815,1.276978,9
307,15059,103.8027011,1.276861944,5
308,15071,103.7870142,1.281424722,4
309,15079,103.7868278,1.280778937,5
310,15091,103.7878111,1.28290732,4
311,15099,103.7878935,1.283056201,5
312,15101,103.7856208,1.286176111,4
313,15109,103.7858107,1.285919709,5
314,15111,103.7848417,1.286762778,4
315,15119,103.7850111,1.287038027,5
316,15121,103.7837304,1.288941421,4
317,15129,103.7840187,1.289164678,5
318,15131,103.784489,1.292543437,6
319,15139,103.784585,1.29241,8
320,15141,103.8009595,1.272758605,6
321,15149,103.8005555,1.273418719,4
322,15151,103.7982221,1.273891929,6
323,15159,103.7983935,1.274263038,4
324,15161,103.7966606,1.274438062,6
325,15169,103.7967399,1.274814993,4
326,15181,103.7854136,1.291084964,6
327,15189,103.7855026,1.290797795,5
328,15191,103.7926357,1.27581227,6
329,15199,103.793184,1.276042409,4
330,15201,103.7897086,1.276808191,6
331,15209,103.7902343,1.277065619,4
332,15219,103.7870103,1.278181141,4
333,15221,103.7854896,1.279499235,8
334,15229,103.7857273,1.27937639,4
335,16009,103.7698832,1.294253411,14
336,16011,103.7818693,1.282777664,8
337,16019,103.7821761,1.282780786,4
338,16021,103.7798103,1.286257931,8
339,16029,103.7802214,1.286084722,4
340,16031,103.7784648,1.28800629,8
341,16039,103.7787203,1.287990202,4
342,16041,103.776601,1.289308651,8
343,16049,103.7773895,1.289106964,4
344,16051,103.7742604,1.290148616,8
345,16059,103.7759414,1.289672662,4
346,16061,103.7734674,1.2905658,8
347,16069,103.7736996,1.290645314,4
348,16071,103.7711722,1.291299408,8
349,16079,103.7712984,1.291382649,4
350,16081,103.7686614,1.291957778,8
351,16089,103.7690842,1.292011383,4
352,16091,103.779369,1.299275,4
353,16099,103.7781514,1.3006125,4
354,16131,103.769352,1.294876391,4
355,16141,103.7695952,1.297868335,4
356,16149,103.7699403,1.297818334,4
357,16151,103.7699356,1.300761389,4
358,16159,103.7701703,1.300603334,4
359,16161,103.7736942,1.301075,4
360,16171,103.7743823,1.298901502,5
361,16179,103.7741773,1.298981642,5
362,16181,103.772552,1.29658476,5
363,16189,103.772848,1.297361,5
364,16191,103.7703702,1.296143074,5
